label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,393076000.0,178940000.0,53385000.0,137762000.0,242317000.0,108318000.0
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,87490000.0,80418000.0,54425000.0,42219000.0,28632000.0,21662000.0
Stock-based compensation,us-gaap_ShareBasedCompensation,494699000.0,491621000.0,498642000.0,337413000.0,111775000.0,80758000.0
Deferred income taxes,us-gaap_DeferredIncomeTaxesAndTaxCredits,-76903000.0,-61597000.0,-11507000.0,-16777000.0,-31218000.0,-10490000.0
Noncash lease expense,ttd_NoncashLeaseExpense,57403000.0,48955000.0,44115000.0,40315000.0,33269000.0,21894000.0
Provision for expected credit losses on accounts receivable,us-gaap_ProvisionForDoubtfulAccounts,853000.0,2960000.0,,,,
Other,us-gaap_OtherNoncashIncomeExpense,-7881000.0,-20379000.0,622000.0,5803000.0,2190000.0,-1939000.0
Accounts receivable,us-gaap_IncreaseDecreaseInAccountsReceivable,-474227000.0,-554012000.0,-291747000.0,-444342000.0,-418054000.0,-331369000.0
Prepaid expenses and other current and non-current assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-38783000.0,-26815000.0,50655000.0,,,
Accounts payable,us-gaap_IncreaseDecreaseInAccountsPayable,298919000.0,475463000.0,187119000.0,309410000.0,481313000.0,191763000.0
Accrued expenses and other current and non-current liabilities,us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,46564000.0,35681000.0,8168000.0,,,
Operating lease liabilities,ttd_IncreaseDecreaseInOperatingLeaseLiabilities,-41754000.0,-52913000.0,-48346000.0,-43990000.0,-17095000.0,-10342000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,739456000.0,598322000.0,548734000.0,378513000.0,405069000.0,60205000.0
Purchases of investments,us-gaap_PaymentsToAcquireInvestments,-679539000.0,-608379000.0,-553295000.0,-278387000.0,-230759000.0,-212776000.0
Sales of investments,ttd_ProceedsFromSalesOfInvestments,0.0,0.0,1977000.0,4539000.0,,
Maturities of investments,us-gaap_ProceedsFromSaleMaturityAndCollectionsOfInvestments,629088000.0,555806000.0,338829000.0,253444000.0,167602000.0,89539000.0
