label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Exercise of common stock options (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,4353000.0,5232000.0,4497000.0,7361000.0,1545000.0,1264000.0
Exercise of common stock options,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,218410000.0,60525000.0,47525000.0,61476000.0,76146000.0,29874000.0
Issuance of common stock under employee stock purchase plan (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,1118000.0,886000.0,1121000.0,1719000.0,268000.0,287000.0
Issuance of common stock under employee stock purchase plan,us-gaap_StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,47994000.0,38482000.0,33062000.0,29229000.0,21671000.0,16746000.0
"Issuance of restricted stock, net of forfeitures and shares withheld for taxes (in shares)",ttd_StockIssuedDuringPeriodSharesRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,2804000.0,2450000.0,1409000.0,935000.0,,
"Issuance of restricted stock, net of forfeitures and shares withheld for taxes",ttd_StockIssuedDuringPeriodValueRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,-139095000.0,-78516000.0,-48595000.0,-56855000.0,,
Issuance of restricted stock related to acquisition,us-gaap_StockIssuedDuringPeriodValueAcquisitions,,,,1816000.0,,
Stock-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,500322000.0,496949000.0,502656000.0,340733000.0,114020000.0,82346000.0
Repurchases of Class A common stock (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,2505000.0,10120000.0,,,,
Repurchases of Class A common stock,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,235781000.0,647500000.0,,,,
Net Income,us-gaap_NetIncomeLoss,393076000.0,178940000.0,53385000.0,137762000.0,242317000.0,108318000.0
Issuance of common stock related to acquisition (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,,,,25000.0,,
"Restricted stock, net of forfeitures and shares withheld for taxes (in shares)",ttd_StockIssuedDuringPeriodSharesRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,,,,,51000.0,61000.0
"Restricted stock, net of forfeitures and shares withheld for taxes",ttd_StockIssuedDuringPeriodValueRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,,,,,-53138000.0,-19334000.0
Accounting Standards Update [Extensible List],us-gaap_AccountingStandardsUpdateExtensibleList,,,,http://fasb.org/us-gaap/2021-01-31#AccountingStandardsUpdate201912Member,us-gaap:AccountingStandardsUpdate201613Member,
