label,concept,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,50678000.0,31660000.0,9326000.0,-14598000.0
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,23985000.0,21742000.0,19293000.0,12350000.0
Stock-based compensation,us-gaap_ShareBasedCompensation,128253000.0,110620000.0,113470000.0,124895000.0
Noncash lease expense,ttd_NoncashLeaseExpense,16962000.0,12751000.0,11917000.0,10515000.0
Provision for expected credit losses on accounts receivable,us-gaap_ProvisionForDoubtfulAccounts,492000.0,40000.0,,
Other,us-gaap_OtherNoncashIncomeExpense,-11876000.0,1125000.0,-1310000.0,998000.0
Accounts receivable,us-gaap_IncreaseDecreaseInAccountsReceivable,282336000.0,238147000.0,258165000.0,259483000.0
Prepaid expenses and other current and non-current assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,20018000.0,3331000.0,-5481000.0,
Accounts payable,us-gaap_IncreaseDecreaseInAccountsPayable,-234666000.0,-220196000.0,-200701000.0,-245937000.0
Accrued expenses and other current and non-current liabilities,us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,29105000.0,-104000.0,-4309000.0,
Operating lease liabilities,ttd_IncreaseDecreaseInOperatingLeaseLiabilities,-13854000.0,-13644000.0,-13113000.0,-11990000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,291433000.0,185472000.0,187573000.0,146192000.0
Purchases of investments,us-gaap_PaymentsToAcquireInvestments,-231580000.0,-159731000.0,-144721000.0,-121221000.0
Maturities of investments,us-gaap_ProceedsFromSaleMaturityAndCollectionsOfInvestments,165114000.0,147794000.0,126731000.0,64133000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-59113000.0,-7224000.0,-9156000.0,-8401000.0
Capitalized software development costs,us-gaap_PaymentsToDevelopSoftware,-2660000.0,-1958000.0,-1467000.0,-1614000.0
Payments to Acquire Businesses,us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,-4350000.0,,,
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-132589000.0,-21119000.0,-28613000.0,-67103000.0
Repurchases of Class A common stock,us-gaap_PaymentsForRepurchaseOfCommonStock,-386250000.0,-125280000.0,-291534000.0,
Proceeds from exercise of stock options,us-gaap_ProceedsFromStockOptionsExercised,7940000.0,10804000.0,10365000.0,24408000.0
Tax Withholding for Share-Based Compensation,us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,-31452000.0,-26806000.0,-15595000.0,-13428000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-409762000.0,-141282000.0,-296764000.0,10980000.0
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-250918000.0,23071000.0,-137804000.0,90069000.0
Prepaid expenses and other assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,23743000.0
Accrued expenses and other liabilities,us-gaap_IncreaseDecreaseInAccruedLiabilities,,,,-8688000.0
Allowance for credit losses on accounts receivable,us-gaap_ProvisionForDoubtfulAccounts,,,316000.0,725000.0
Cash paid for operating lease liabilities,us-gaap_OperatingLeasePayments,16819000.0,15716000.0,15342000.0,14030000.0
Operating lease assets obtained in exchange for operating lease liabilities,us-gaap_RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,32304000.0,16875000.0,3999000.0,4732000.0
Capitalized assets financed by accounts payable,us-gaap_CapitalExpendituresIncurredButNotYetPaid,22011000.0,3135000.0,5214000.0,1837000.0
Repurchases of Class A common stock in accrued expenses and other current and non-current liabilities,ttd_RepurchaseOfClassACommonStockAccruedNotYetPaid,16059000.0,,,
"Assets acquired in a business combination, included in other assets, non-current, in exchange for Class A common stock",us-gaap_NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,10299000.0,,,
Tenant improvements paid by lessor,ttd_TenantImprovementsPaidByLessorValue,5144000.0,0.0,1552000.0,
Stock-based compensation included in capitalized software development costs,us-gaap_EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,1697000.0,1428000.0,765000.0,520000.0
Deferred income taxes,us-gaap_DeferredIncomeTaxesAndTaxCredits,,,0.0,-5304000.0
