label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Issuance of common stock upon exercise of stock options (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,868015.0,590733.0,412171.0,2035709.0,9065976.0,6045823.0
Issuance of common stock upon exercise of stock options and common stock warrants (in shares),upwk_ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsAndWarrantsExercisesInPeriod,934966.0,640687.0,,,,
Issuance of common stock upon exercise of stock options and common stock warrants,upwk_StockIssuedDuringPeriodValueStockOptionsAndWarrantExercised,3293000.0,2012000.0,1642000.0,7177000.0,31028000.0,18155000.0
Stock-based compensation expense,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,70095000.0,75175000.0,75618000.0,53671000.0,25677000.0,18616000.0
Issuance of common stock for settlement of RSUs (in shares),us-gaap_StockIssuedDuringPeriodSharesRestrictedStockAwardGross,4559933.0,3665021.0,2553300.0,1865444.0,1590225.0,163943.0
Issuance of common stock for settlement of RSUs,us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardGross,1000.0,1000.0,,1000.0,,
Tides Foundation common stock warrant expense,us-gaap_AdjustmentsToAdditionalPaidInCapitalWarrantIssued,750000.0,,,,,
Tides Foundation common stock warrant expense and other,us-gaap_AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,750000.0,750000.0,202000.0,1135000.0,975000.0
Issuance of common stock in connection with employee stock purchase plan (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,657526.0,598781.0,272316.0,384114.0,484652.0,556663.0
Issuance of common stock in connection with employee stock purchase plan,us-gaap_StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,4795000.0,4081000.0,3794000.0,4789000.0,4913000.0,6391000.0
"Repurchase of common stock, including excise tax (in shares)",upwk_StockRepurchasedDuringPeriodIncludingExciseTaxShares,8076726.0,,,,,
"Repurchase of common stock, including excise tax",upwk_StockRepurchasedDuringPeriodIncludingExciseTaxValue,100277000.0,,,,,
Unrealized gain (loss) on marketable securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,59000.0,,,,,
Unrealized loss on marketable securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,-2557000.0,,,
Unrealized (loss) gain on marketable securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,3290000.0,,,,
Net Income,us-gaap_NetIncomeLoss,215586000.0,46887000.0,-89885000.0,-56240000.0,-22867000.0,-16659000.0
Purchase of capped calls related to convertible senior notes,upwk_AdjustmentsToAdditionalPaidInCapitalPurchaseOfCappedCalls,,,,49393000.0,,
Conversion of redeemable convertible preferred stock warrant in connection with the initial public offering,us-gaap_AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,0.0,0.0
Conversion of redeemable convertible preferred stock in connection with the initial public offering,us-gaap_TemporaryEquityEliminationAsPartofReorganization,,,,,0.0,0.0
