label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1129814000.0,1096960000.0,688369000.0,438589000.0,348566000.0,628414000.0
Change in fair value of earn-out liability,us-gaap_DerivativeGainLossOnDerivativeNet,16318000.0,14850000.0,,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,496888000.0,490149000.0,106013000.0,73681000.0,49077000.0,103163000.0
"Interest income (expense), net",us-gaap_InterestIncomeExpenseNonoperatingNet,6459000.0,-6480000.0,3714000.0,-774000.0,701000.0,879000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,130462000.0,127076000.0,67700000.0,46021000.0,39715000.0,51657000.0
Operating Expenses,us-gaap_OperatingExpenses,-840201000.0,-832594000.0,-513621000.0,-363162000.0,-278527000.0,-445264000.0
Operating Income,us-gaap_OperatingIncomeLoss,289613000.0,264366000.0,174748000.0,75427000.0,70039000.0,183150000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,3204000.0,4490000.0,-1910000.0,492000.0,-555000.0,4294000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,299276000.0,262376000.0,176552000.0,75145000.0,70185000.0,188323000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,66518000.0,47536000.0,31430000.0,7675000.0,10970000.0,32020000.0
Net Income,us-gaap_NetIncomeLoss,185407000.0,169171000.0,110174000.0,49593000.0,34446000.0,85612000.0
Profit or Loss,us-gaap_ProfitLoss,232758000.0,214840000.0,145122000.0,67470000.0,59215000.0,156303000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-47351000.0,-45669000.0,-34948000.0,-17877000.0,-24769000.0,-70691000.0
Less: pre-IPO net income attributable to Cactus LLC,whd_NetIncomeLossAttributableToLimitedLiabilityCompany,,,,,-0.0,
Severance expenses,us-gaap_SeveranceCosts1,,,0.0,0.0,1864000.0,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,2.79,2.62,1.83,0.9,0.73,1.9
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,2.77,2.57,1.8,0.83,0.72,1.88
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,66393000.0,64641000.0,60323000.0,55398000.0,47457000.0,44983000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,79915000.0,79460000.0,76337000.0,76107000.0,75495000.0,75353000.0
