label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Issuances of common stock (in shares),us-gaap_StockIssuedDuringPeriodSharesNewIssues,,128150.0,,,,
Issuances of common stock,us-gaap_StockIssuedDuringPeriodValueNewIssues,,169878000.0,,,,
Member distributions,us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,13290000.0,16644000.0,9692000.0,9742000.0,,
Member distributions after IPO,us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,,16304000.0,
Effect of CW Unit redemptions (in shares),us-gaap_StockIssuedDuringPeriodSharesConversionOfUnits,2601000.0,944000.0,-1696000.0,-10981000.0,303000.0,9278000.0
Effect of Follow-on Offering and CW Unit redemptions (in shares),us-gaap_StockIssuedDuringPeriodSharesNewIssues,,,,,300000.0,800000.0
Effect of CW Unit redemptions,us-gaap_StockIssuedDuringPeriodValueConversionOfUnits,0.0,0.0,0.0,0.0,0.0,-59000.0
Tax impact of equity transactions,whd_AdjustmentsToAdditionalPaidInCapitalTaxReceivableAgreement,2014000.0,3409000.0,2076000.0,2998000.0,284000.0,
Equity award vestings (in shares),us-gaap_StockIssuedDuringPeriodSharesShareBasedCompensation,228000.0,218000.0,172000.0,341000.0,251000.0,227000.0
Equity award vestings,us-gaap_StockIssuedDuringPeriodValueShareBasedCompensation,-5959000.0,-4921000.0,-4561000.0,-3283000.0,-1444000.0,-1549000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeOtherNetOfTax,-1974000.0,239000.0,-1308000.0,-567000.0,1375000.0,22000.0
Share repurchases (in shares),us-gaap_StockRepurchasedDuringPeriodShares,87000.0,8000.0,,,,
Share repurchases,us-gaap_StockRepurchasedDuringPeriodValue,3372000.0,327000.0,,,,
Stock-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,23188000.0,18104000.0,10631000.0,8620000.0,8599000.0,6995000.0
Cash dividends declared,us-gaap_DividendsCash,33956000.0,30253000.0,26856000.0,21233000.0,17350000.0,4305000.0
Net Income from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,232758000.0,214840000.0,145122000.0,67470000.0,59215000.0,156303000.0
Additional paid-in capital related to tax receivable agreement,whd_AdjustmentsToAdditionalPaidInCapitalTaxReceivableAgreement,,,,,,15250000.0
Member distribution after IPO,us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,,,8392000.0
Adjustment to deferred tax asset from CW Unit redemptions,whd_AdjustmentToAdditionalPaidInCapitalDeferredTaxAsset,,,,,,-9751000.0
Adjustments to prior periods,us-gaap_PriorPeriodReclassificationAdjustment,,,,,,-506000.0
