label,concept,2025-09-30,2025-06-30,2024-09-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,445614000.0,405177000.0,303376000.0,194257000.0,63738000.0,63910000.0,75422000.0,311684000.0,297741000.0
Inventory,us-gaap_InventoryGross,271278000.0,246420000.0,219799000.0,204049000.0,203517000.0,209387000.0,232598000.0,149037000.0,136201000.0
"Property and equipment, net",us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,346616000.0,349161000.0,344183000.0,344973000.0,345222000.0,345956000.0,351302000.0,130376000.0,132746000.0
Goodwill,us-gaap_Goodwill,203028000.0,203028000.0,203028000.0,203028000.0,200723000.0,202806000.0,201302000.0,7824000.0,7824000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,152001000.0,155998000.0,167988000.0,175981000.0,183974000.0,187971000.0,196634000.0,,
Accounts Payable,us-gaap_AccountsPayableCurrent,67248000.0,83142000.0,74897000.0,66142000.0,65217000.0,63585000.0,56743000.0,57366000.0,51168000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,201382000.0,207283000.0,196874000.0,207624000.0,206251000.0,214590000.0,209442000.0,125821000.0,104211000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,10438000.0,14471000.0,10152000.0,11027000.0,19442000.0,11182000.0,9993000.0,7985000.0,8212000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,8634000.0,7995000.0,8956000.0,9482000.0,9779000.0,9876000.0,10086000.0,992000.0,1052000.0
Total Current Assets,us-gaap_AssetsCurrent,928712000.0,873351000.0,730201000.0,616957000.0,492948000.0,499069000.0,527455000.0,594527000.0,546365000.0
Total Assets,us-gaap_Assets,1864776000.0,1824529000.0,1681723000.0,1575887000.0,1464150000.0,1476397000.0,1520267000.0,1070124000.0,1026191000.0
"Operating lease right-of-use assets, net",us-gaap_OperatingLeaseRightOfUseAsset,20870000.0,22117000.0,23589000.0,24429000.0,19969000.0,20998000.0,22028000.0,20910000.0,21678000.0
Investment in unconsolidated affiliates,us-gaap_EquityMethodInvestments,5692000.0,5773000.0,,,,,,,
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,199223000.0,207106000.0,203778000.0,201037000.0,211535000.0,209721000.0,211460000.0,315495000.0,316526000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,4475000.0,4475000.0,3406000.0,1004000.0,,23983000.0,5839000.0,,
Total Liabilities,us-gaap_Liabilities,471364000.0,475992000.0,469443000.0,475298000.0,454079000.0,523623000.0,594431000.0,426316000.0,411089000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,175869000.0,179963000.0,191301000.0,190670000.0,177367000.0,180731000.0,186566000.0,113638000.0,102457000.0
Accrued Liabilities,us-gaap_AccruedLiabilitiesCurrent,75878000.0,64128000.0,79347000.0,58284000.0,60713000.0,53216000.0,50766000.0,33620000.0,28746000.0
Current portion of liability related to tax receivable agreement,whd_TaxReceivableAgreementLiabilityCurrent,20297000.0,20297000.0,25485000.0,20855000.0,20855000.0,27544000.0,27544000.0,11769000.0,11769000.0
"Finance lease obligations, current portion",us-gaap_FinanceLeaseLiabilityCurrent,7394000.0,7354000.0,7121000.0,7181000.0,7543000.0,7299000.0,7242000.0,5630000.0,5593000.0
"Operating lease liabilities, current portion",us-gaap_OperatingLeaseLiabilityCurrent,5052000.0,5042000.0,4451000.0,4094000.0,4147000.0,4446000.0,4521000.0,5253000.0,5181000.0
"Liability related to tax receivable agreement, net of current portion",whd_TaxReceivableAgreementLiabilityNonCurrent,261367000.0,259732000.0,241542000.0,250069000.0,250256000.0,262882000.0,261607000.0,288659000.0,283620000.0
"Finance lease obligations, net of current portion",us-gaap_FinanceLeaseLiabilityNoncurrent,10329000.0,11681000.0,10620000.0,9529000.0,9239000.0,8614000.0,8900000.0,6912000.0,7009000.0
"Operating lease liabilities, net of current portion",us-gaap_OperatingLeaseLiabilityNoncurrent,16875000.0,17944000.0,19414000.0,20283000.0,15748000.0,16364000.0,17429000.0,15860000.0,16571000.0
"Deferred tax liability, net",us-gaap_DeferredIncomeTaxLiabilitiesNet,2449000.0,2197000.0,3160000.0,3743000.0,1469000.0,1049000.0,2123000.0,1247000.0,1432000.0
Commitments and contingencies,us-gaap_CommitmentsAndContingencies,,,,,,,,,
Preferred Stock,us-gaap_PreferredStockValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority Interest,us-gaap_MinorityInterest,203509000.0,200336000.0,209261000.0,207223000.0,189063000.0,191968000.0,188583000.0,126569000.0,122779000.0
Common Stock,us-gaap_CommonStockValue,688000.0,685000.0,666000.0,655000.0,654000.0,647000.0,645000.0,606000.0,602000.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapital,540945000.0,530945000.0,488611000.0,462464000.0,462302000.0,446206000.0,439844000.0,304418000.0,298893000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,650356000.0,618554000.0,514481000.0,431703000.0,359699000.0,315049000.0,297528000.0,212913000.0,192493000.0
Accumulated Other Comprehensive Income/Loss,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2086000.0,-1983000.0,-739000.0,-1456000.0,-1647000.0,-1096000.0,-764000.0,-698000.0,335000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,1393412000.0,1348537000.0,1212280000.0,1100589000.0,1010071000.0,952774000.0,925836000.0,643808000.0,615102000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,1864776000.0,1824529000.0,1681723000.0,1575887000.0,1464150000.0,1476397000.0,1520267000.0,1070124000.0,1026191000.0
Short Term Debt,us-gaap_LongTermDebtCurrent,,,,,,24641000.0,39750000.0,,
Long Term Debt,us-gaap_LongTermDebtNoncurrent,,,,,,30000000.0,111967000.0,,
Earn-out liability,us-gaap_BusinessCombinationContingentConsiderationLiabilityCurrent,,,0.0,34114000.0,18892000.0,,,,
